Src_MAC,Dest_MAC,Time,Len
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.132834,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.132839,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.133519,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.133523,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.134196,440
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957319.250138,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957319.260588,72
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957344.968157,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.129202,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.129215,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.129919,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.129925,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.130609,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.130615,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.131207,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.131213,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.131856,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.131861,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.132490,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.132495,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.133044,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.133549,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.133554,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.134173,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.134180,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.134693,440
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957349.378254,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957349.388725,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957349.409767,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957349.420235,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957349.442083,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957349.452621,72
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957375.228494,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.129514,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.129528,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.129988,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.129994,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.130402,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.130965,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.130971,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.131553,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957379.131559,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.132206,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.132212,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.132636,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.133295,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.133300,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.133924,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.133930,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.134490,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957379.134952,440
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957379.569150,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957379.579599,72
60:32:b1:64:50:6d,01:00:5e:00:00:01,1646957403.129316,32
60:32:b1:64:50:6d,33:33:00:00:00:01,1646957403.129961,0
60:32:b1:64:50:6d,01:00:5e:00:00:02,1646957404.767420,32
ee:3a:28:eb:91:a0,33:33:00:00:00:16,1646957405.102078,0
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957405.501416,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957406.137373,32
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.129960,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.129973,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.130433,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.130439,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.130855,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.131387,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.131393,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.132012,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957409.132018,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.132709,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.132714,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.133261,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.133267,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.133844,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.133850,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.134492,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.134498,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957409.135126,440
28:6d:97:77:cf:e8,33:33:00:00:00:16,1646957409.364681,0
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957409.691703,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957409.702211,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957409.723261,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957409.733738,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957409.754808,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957409.765271,72
60:32:b1:64:50:6d,01:00:5e:00:00:16,1646957411.227310,32
28:6d:97:77:cf:e8,01:00:5e:00:00:fb,1646957411.284626,32
28:6d:97:77:cf:e8,33:33:00:00:00:02,1646957428.564516,1
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957435.748530,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.130523,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.130536,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.131041,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.131516,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.131523,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.132052,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.132058,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.132715,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957439.132721,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.133355,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.133361,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.133900,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.133906,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.134570,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.134576,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.135385,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.135392,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957439.135907,440
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957439.895645,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957439.906105,72
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957465.989128,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.130132,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.130145,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.130605,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.130612,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.131311,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.131317,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.132090,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.132096,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957469.132723,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957469.132729,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957469.133290,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957469.133296,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957469.133897,444
